$ build/cache_sweep 1024
working set | float GB/s double GB/s float Gel/s double Gel/s | chase ns/load
      4 KiB |       78.0      104.3      19.49      13.04 |         2.06
      8 KiB |       91.3      113.7      22.83      14.22 |         2.20
     16 KiB |      115.6      141.7      28.91      17.72 |         1.91
     32 KiB |      134.5      154.1      33.61      19.26 |         2.12
     64 KiB |       96.8      111.9      24.21      13.99 |         5.84
    128 KiB |      106.5      106.6      26.63      13.32 |         6.14
    256 KiB |       69.2      111.6      17.30      13.95 |         6.32
    512 KiB |       69.1      112.2      17.26      14.03 |         7.02
      1 MiB |       66.8      110.8      16.70      13.85 |         8.69
      2 MiB |       42.2       52.5      10.54       6.56 |        33.10
      4 MiB |       31.0       29.8       7.75       3.73 |        41.37
      8 MiB |       29.0       27.1       7.25       3.39 |        45.61
     16 MiB |       23.2       25.3       5.80       3.16 |        72.25
     32 MiB |       25.9       25.2       6.47       3.14 |       129.74
     64 MiB |       23.5       23.5       5.88       2.94 |       154.51
    128 MiB |       23.4       21.4       5.86       2.68 |       157.78
    256 MiB |       13.9       14.0       3.47       1.75 |       174.74
    512 MiB |       13.0       12.8       3.25       1.60 |       189.37
   1024 MiB |       13.2       13.3       3.31       1.67 |       214.46

